index,topic,topic_name,topic0,topic1,topic2,topic3,topic4,topic5,title,category,rating,reviews,link,pop_score,unpop_score,pop_topic0,pop_topic1,pop_topic2,pop_topic3,pop_topic4,pop_topic5,unpop_topic0,unpop_topic1,unpop_topic2,unpop_topic3,unpop_topic4,unpop_topic5,img
0,2,Walking tours,0.03626494482159615,0.2776591181755066,0.6535212993621826,0.0,0.02645865827798844,0.0,Tower of London,Sights & Landmarks,4.5,65265.0,/Attraction_Review-g186338-d187547-Reviews-Tower_of_London-London_England.html,3.401622823782882,0.0001009769870114565,0.12335966400836833,0.9444915936172316,2.223032967738646,0.0,0.09000237588507737,0.0,3.661924862221501e-06,2.8037181169620592e-05,6.599061175740528e-05,0.0,2.6717155932770047e-06,0.0,https://media-cdn.tripadvisor.com/media/photo-m/1280/1a/c0/dc/f8/tower-of-london-white.jpg
2,1,Art,0.03490611910820006,0.955792248249054,0.0,0.0,0.0,0.0,Churchill War Rooms,Museums,4.5,22836.0,/Attraction_Review-g186338-d194299-Reviews-Churchill_War_Rooms-London_England.html,1.1900128574903568,0.0008696760752784138,0.0415387305438479,1.1374050645059892,0.0,0.0,0.0,0.0,3.0357016669220275e-05,0.0008312296512387687,0.0,0.0,0.0,0.0,https://media-cdn.tripadvisor.com/media/photo-o/0e/ad/89/aa/photo5jpg.jpg
3,1,Art,0.0495821051299572,0.8568400740623474,0.0,0.08216840773820877,0.0,0.0,National Gallery,Museums,4.5,39652.0,/Attraction_Review-g186338-d188862-Reviews-National_Gallery-London_England.html,2.0665462000903503,0.0003682215978880738,0.10246371094879332,1.7706995991386782,0.0,0.16980481077886986,0.0,0.0,1.8257201977607306e-05,0.00031550702120577306,0.0,3.0256182393282006e-05,0.0,0.0,https://media-cdn.tripadvisor.com/media/photo-o/08/15/74/b2/galeria-nacional.jpg
4,1,Art,0.017913954332470894,0.9348664879798888,0.0,0.03652872517704964,0.0,0.0,The British Museum,Museums,4.5,72522.0,/Attraction_Review-g186338-d187555-Reviews-The_British_Museum-London_England.html,3.779893665079752,5.957692851164467e-05,0.06771284249783471,3.5336959156105383,0.0,0.13807469689016916,0.0,0.0,1.0672583766264856e-06,5.5696473922310145e-05,0.0,2.1762692484946012e-06,0.0,0.0,https://media-cdn.tripadvisor.com/media/photo-m/1280/03/56/93/aa/great-court-at-the-british.jpg
5,0,Traditional sights,0.5189937353134155,0.3377840220928192,0.1425972580909729,0.0,0.0,0.0,Westminster Abbey,Sights & Landmarks,4.5,24102.0,/Attraction_Review-g186338-d189032-Reviews-Westminster_Abbey-London_England.html,1.2560030579977064,0.0008075670754299959,0.6518577186353022,0.42425776469134574,0.17910259222435015,0.0,0.0,0.0,0.00041912225299354437,0.00027278325484847915,0.00011515685068086334,0.0,0.0,0.0,https://media-cdn.tripadvisor.com/media/photo-m/1280/16/1a/24/52/westminster-abbey.jpg
6,1,Art,0.018522502854466442,0.8199321627616882,0.0,0.13209757208824158,0.0,0.02744664065539837,V&A  - Victoria and Albert Museum,Museums,4.5,31628.0,/Attraction_Review-g186338-d187556-Reviews-V_A_Victoria_and_Albert_Museum-London_England.html,1.6482955137783646,0.0005409835246405028,0.030530558358963986,1.3514905054826825,0.0,0.2177358354540627,0.0,0.04524017466058,1.002036887937303e-05,0.0004435697913769285,0.0,7.146261014474983e-05,0.0,1.484818040129873e-05,https://media-cdn.tripadvisor.com/media/photo-o/09/27/6e/8e/v-a-victoria-and-albert.jpg
7,0,Traditional sights,0.4756817817687988,0.28464913368225103,0.238181471824646,0.0,0.0,0.0,St. Paul's Cathedral,Sights & Landmarks,4.5,16975.0,/Attraction_Review-g186338-d188159-Reviews-St_Paul_s_Cathedral-London_England.html,0.8845084616186538,0.0012779351534779428,0.4207445610123404,0.2517745673343704,0.2106735272296844,0.0,0.0,0.0,0.0006078904707913713,0.00036376313433959096,0.0003043804757518313,0.0,0.0,0.0,https://media-cdn.tripadvisor.com/media/photo-m/1280/1b/3f/87/d2/st-paul-s-cathedral.jpg
8,1,Art,0.0,0.7779375314712524,0.0,0.06143249943852425,0.16019539535045624,0.0,Natural History Museum,Museums,4.5,36753.0,/Attraction_Review-g186338-d187676-Reviews-Natural_History_Museum-London_England.html,1.9154359384230464,0.0004219351990167258,0.0,1.490089505628147,0.0,0.11767001721170298,0.3068440174241521,0.0,0.0,0.00032823922716390333,0.0,2.592053387668863e-05,6.759207601875783e-05,0.0,https://media-cdn.tripadvisor.com/media/photo-m/1280/02/5c/2f/85/the-main-hall-staircase.jpg
9,3,Food,0.0,0.0,0.05040944367647171,0.9494060277938844,0.0,0.0,Borough Market,Shopping,4.5,13112.0,/Attraction_Review-g186338-d260500-Reviews-Borough_Market-London_England.html,0.6831497376376968,0.0017465757759437019,0.0,0.0,0.034437198222043906,0.64858647879904,0.0,0.0,0.0,0.0,8.804391320412393e-05,0.0016582095696797315,0.0,0.0,https://media-cdn.tripadvisor.com/media/photo-m/1280/16/bc/8e/68/photo0jpg.jpg
10,4,Nature,0.06673233956098558,0.0,0.0,0.07970663905143738,0.8533315658569336,0.0,Hyde Park,Nature & Parks,4.5,21943.0,/Attraction_Review-g186338-d189030-Reviews-Hyde_Park-London_England.html,1.1434652674010493,0.0009177964907074557,0.0763061125004,0.0,0.0,0.09114177333659076,0.9757550071343546,0.0,6.124670706577089e-05,0.0,0.0,7.315447360749507e-05,0.0007831847165533918,0.0,https://media-cdn.tripadvisor.com/media/photo-o/05/3b/37/be/caption.jpg
11,2,Walking tours,0.0,0.013594076968729496,0.9296585321426392,0.0,0.0,0.05185021460056305,Up at The O2,Sights & Landmarks,4.5,6264.0,/Attraction_Review-g186338-d3263267-Reviews-Up_at_The_O2-London_England.html,0.3261980053514961,0.003997894630889372,0.0,0.004434360791794274,0.3032527588429286,0.0,0.0,0.016913436579750692,0.0,5.4347687325180515e-05,0.0037166768542135522,0.0,0.0,0.00020729169456205275,https://media-cdn.tripadvisor.com/media/photo-s/02/e7/83/5e/up-at-the-o2.jpg
12,4,Nature,0.22357773780822754,0.0,0.0,0.0,0.7760182619094849,0.0,St. James's Park,Nature & Parks,4.5,18694.0,/Attraction_Review-g186338-d188126-Reviews-St_James_s_Park-London_England.html,0.974111269416548,0.0011316642978228693,0.21778959398965267,0.0,0.0,0.0,0.7559281341990716,0.0,0.0002530149436655734,0.0,0.0,0.0,0.0008781921614615207,0.0,https://media-cdn.tripadvisor.com/media/photo-o/06/0a/44/c3/st-james-s-park.jpg
13,3,Food,0.017961453646421432,0.02503681555390358,0.0,0.6647688746452332,0.12551920115947726,0.16660989820957184,Covent Garden,Shopping,4.5,24671.0,/Attraction_Review-g186338-d189047-Reviews-Covent_Garden-London_England.html,1.2856621607533794,0.0007817286301925226,0.023092361305329843,0.032188886383415494,0.0,0.8546681877779828,0.1613752873787316,0.21420404173501872,1.4040982555283515e-05,1.9571995527335887e-05,0.0,0.0005196688617710429,9.812195318525786e-05,0.00013024372750388422,https://media-cdn.tripadvisor.com/media/photo-m/1280/1a/9f/f5/5e/covent-garden-is-a-world.jpg
14,2,Walking tours,0.2133956402540207,0.2999509274959564,0.4820900559425354,0.0,0.0,0.0,Houses of Parliament,Sights & Landmarks,4.5,16480.0,/Attraction_Review-g186338-d211708-Reviews-Houses_of_Parliament-London_England.html,0.8587066059700454,0.0013257136143312942,0.1832442459713349,0.2575698429076199,0.413973915710324,0.0,0.0,0.0,0.0002829015055236984,0.00039764902821268834,0.0006391133504967544,0.0,0.0,0.0,https://media-cdn.tripadvisor.com/media/photo-o/04/25/20/2f/houses-of-parliament.jpg
15,3,Food,0.017462633550167084,0.04232413321733475,0.0,0.916174054145813,0.023869946599006653,0.0,Camden Market,Shopping,4.5,28724.0,/Attraction_Review-g186338-d187577-Reviews-Camden_Market-London_England.html,1.4969246273065293,0.0006272960672664263,0.026140246218874355,0.06335603734243071,0.0,1.3714435045501332,0.035731510916544786,0.0,1.0954241350134563e-05,2.6549762317694405e-05,0.0,0.0005747123810972063,1.4973523627416482e-05,0.0,https://media-cdn.tripadvisor.com/media/photo-o/1b/28/f7/70/img-20200314-105119-largejpg.jpg
16,2,Walking tours,0.0,0.07661988586187363,0.9231441020965576,0.0,0.0,0.0,Chelsea FC Stadium Tour & Museum,Sights & Landmarks,4.5,2628.0,/Attraction_Review-g186338-d548817-Reviews-Chelsea_FC_Stadium_Tour_Museum-London_England.html,0.13667164749626434,0.009961936877862407,0.0,0.010471766031718,0.12616762530999615,0.0,0.0,0.0,0.0,0.0007632824665450074,0.009196303274256877,0.0,0.0,0.0,https://media-cdn.tripadvisor.com/media/photo-o/11/5a/84/b9/view-of-the-bridge-from.jpg
17,2,Walking tours,0.0,0.01632581651210785,0.6994127035140991,0.2390791326761245,0.013091282919049265,0.032015256583690636,The View from The Shard,Sights & Landmarks,4.5,18510.0,/Attraction_Review-g186338-d3539289-Reviews-The_View_from_The_Shard-London_England.html,0.9645202766097926,0.0011460226007747837,0.0,0.015746581058138982,0.6745977342578218,0.2305966711804049,0.01262680782225845,0.030879364135834773,0.0,1.8709754698977743e-05,0.0008015427654961504,0.00027399008942047173,1.500290609836734e-05,3.6690207614513156e-05,https://media-cdn.tripadvisor.com/media/photo-m/1280/1a/bf/d0/7e/ask-our-lovely-guest.jpg
18,2,Walking tours,0.0,0.0,0.4608604609966278,0.26813799142837524,0.2162244766950608,0.05460987612605095,Sky Garden,Sights & Landmarks,4.5,15136.0,/Attraction_Review-g186338-d7398968-Reviews-Sky_Garden-London_England.html,0.7886506585120061,0.0014712008488985179,0.0,0.0,0.3634579060471373,0.2114672035120748,0.17052557593197362,0.04306811476806916,0.0,0.0,0.0006780183014420012,0.0003944848406113692,0.00031810963366641124,8.034209611488906e-05,https://media-cdn.tripadvisor.com/media/photo-o/07/4a/1e/7f/sunset-at-sky-garden.jpg
19,4,Nature,0.0,0.01874843798577785,0.0,0.023417916148900986,0.9109861850738524,0.043915901333093636,Regent's Park,Nature & Parks,4.5,6356.0,/Attraction_Review-g186338-d187675-Reviews-Regent_s_Park-London_England.html,0.3309935017548737,0.0039355001556750716,0.0,0.006205611141346702,0.0,0.007751178069926744,0.3015305074479079,0.014535877964962187,0.0,7.378448061169315e-05,0.0,9.216121264958559e-05,0.003585186273175986,0.0001728310365330011,https://media-cdn.tripadvisor.com/media/photo-s/0e/93/07/f3/regentspark.jpg
20,2,Walking tours,0.0,0.049682337790727615,0.9499683380126952,0.0,0.0,0.0,Emirates Stadium Tour and Museum,Museums,4.5,2572.0,/Attraction_Review-g186338-d1775127-Reviews-Emirates_Stadium_Tour_and_Museum-London_England.html,0.13375264968551273,0.01018564700695448,0.0,0.006645144322080502,0.12706078232654078,0.0,0.0,0.0,0.0,0.0005060467552166261,0.00967604215878053,0.0,0.0,0.0,https://media-cdn.tripadvisor.com/media/photo-m/1280/1a/73/77/4d/home-dressing-room.jpg
21,0,Traditional sights,0.5213258862495422,0.12164897471666335,0.2626388967037201,0.015374832786619663,0.07891493290662767,0.0,Buckingham Palace,Sights & Landmarks,4.5,29101.0,/Attraction_Review-g186338-d187549-Reviews-Buckingham_Palace-London_England.html,1.5165757375681967,0.0006151178851101617,0.7906301904522933,0.18448988355533866,0.3983117784825417,0.02331709837335541,0.11968047257801362,0.0,0.0003206768766029992,7.48284600535335e-05,0.00016155388268805849,9.45733462762786e-06,4.854198663313512e-05,0.0,https://media-cdn.tripadvisor.com/media/photo-o/06/66/e3/2b/buckingham-palace.jpg
22,1,Art,0.0,0.8130859136581421,0.0,0.16304655373096466,0.01120582316070795,0.0,Wallace Collection,Museums,4.5,6464.0,/Attraction_Review-g186338-d187558-Reviews-Wallace_Collection-London_England.html,0.3366229975327519,0.003864520732488164,0.0,0.2737034175072601,0.0,0.054885219654302216,0.0037721377821794467,0.0,0.0,0.003142187370625972,0.0,0.0006300967872540584,4.3305135929151926e-05,0.0,https://media-cdn.tripadvisor.com/media/photo-m/1280/15/73/57/7b/photography-by-thierry.jpg
23,4,Nature,0.016055455431342125,0.11406995356082915,0.1779087334871292,0.1161518543958664,0.5757567882537842,0.0,Greenwich,Other,4.5,5869.0,/Attraction_Review-g186338-d187601-Reviews-Greenwich-London_England.html,0.30560864579351565,0.004288012970734181,0.004906685991970613,0.034860764033454214,0.05437044711584105,0.03549701092832633,0.17595625236466292,0.0,6.88460011406396e-05,0.0004891334404398812,0.0007628749567997005,0.0004980606582243031,0.00246885257602048,0.0,https://media-cdn.tripadvisor.com/media/photo-w/01/06/2e/13/footpath-to-the-royal.jpg
24,1,Art,0.013874601572751999,0.961369514465332,0.0,0.01944686472415924,0.0,0.0,Imperial War Museums,Museums,4.5,10388.0,/Attraction_Review-g186338-d187674-Reviews-Imperial_War_Museums-London_England.html,0.5411613441289919,0.002286583744245865,0.007508398036364697,0.5202560186526953,0.0,0.01052389145322069,0.0,0.0,3.172543841414284e-05,0.0021982519039899684,0.0,4.446688475481087e-05,0.0,0.0,https://media-cdn.tripadvisor.com/media/photo-o/0b/d6/7a/1a/photo5jpg.jpg
25,1,Art,0.0,0.6029884815216064,0.39511796832084656,0.0,0.0,0.0,HMS Belfast,Museums,4.5,3807.0,/Attraction_Review-g186338-d187551-Reviews-HMS_Belfast-London_England.html,0.19812697640476767,0.006779941723554347,0.0,0.119468284650778,0.0782835283866041,0.0,0.0,0.0,0.0,0.004088226764691018,0.0026788767991445324,0.0,0.0,0.0,https://media-cdn.tripadvisor.com/media/photo-o/01/35/64/6b/thames-hms-belfast.jpg
26,4,Nature,0.02964314073324204,0.3221561312675476,0.2724628448486328,0.0,0.3756264746189117,0.0,Highgate Cemetery,Sights & Landmarks,4.5,1771.0,/Attraction_Review-g186338-d194290-Reviews-Highgate_Cemetery-London_England.html,0.09200055599958301,0.014933933745907681,0.002727185429032154,0.029638543195289024,0.02506673321530234,0.0,0.034557844513103134,0.0,0.0004426886997308538,0.004811058320187494,0.004068942073191006,0.0,0.005609580885167701,0.0,https://media-cdn.tripadvisor.com/media/photo-o/05/39/7d/e3/highgate-cemetery.jpg
27,2,Walking tours,0.0,0.17240425944328308,0.4120073616504669,0.0,0.0,0.4115436673164368,Shakespeare's Globe Theatre,Concerts & Shows,4.5,8552.0,/Attraction_Review-g186338-d187726-Reviews-Shakespeare_s_Globe_Theatre-London_England.html,0.4454599159050631,0.002844625877522173,0.0,0.07679918691327957,0.1835327646730839,0.0,0.0,0.1833262074340412,0.0,0.0004904256178074095,0.0011720068026805548,0.0,0.0,0.0011706877657787125,https://media-cdn.tripadvisor.com/media/photo-o/01/af/25/a7/shakespeare-s-globe-theatre.jpg
28,5,Performing arts,0.0,0.0,0.0,0.0,0.0,0.9962313771247864,School Of Rock The Musical,Concerts & Shows,5.0,952.0,/Attraction_Review-g186338-d11978522-Reviews-School_Of_Rock_The_Musical-London_England.html,0.05478912557482249,0.03116729542704944,0.0,0.0,0.0,0.0,0.0,0.05458264602286826,0.0,0.0,0.0,0.0,0.0,0.03104983764454452,https://media-cdn.tripadvisor.com/media/photo-o/0e/11/1f/6f/getlstd-property-photo.jpg
29,1,Art,0.0,0.853978157043457,0.025272531434893608,0.05644959583878518,0.06101265922188759,0.0,Royal Air Force Museum London,Museums,4.5,3618.0,/Attraction_Review-g186338-d215615-Reviews-Royal_Air_Force_Museum_London-London_England.html,0.1882753587934809,0.007150455458053928,0.0,0.16078304391915246,0.004758194923524119,0.010628067910294263,0.011487180305945269,0.0,0.0,0.0061063327740902215,0.00018071011033747448,0.0004036403206703797,0.00043626830214353043,0.0,https://media-cdn.tripadvisor.com/media/photo-m/1280/13/9f/30/b9/see-the-helicopter-flown.jpg
30,2,Walking tours,0.0,0.0,0.8321647644042969,0.06405891478061676,0.0,0.10185109823942183,Emirates Stadium,Sights & Landmarks,4.5,1921.0,/Attraction_Review-g186338-d1056442-Reviews-Emirates_Stadium-London_England.html,0.0998193001355249,0.013743406662772958,0.0,0.0,0.08306610438028088,0.006394316040842396,0.0,0.010166705344293678,0.0,0.0,0.011436778767638902,0.0008803877162059336,0.0,0.001399781062154413,https://media-cdn.tripadvisor.com/media/photo-o/01/1a/af/de/emirates-stadium.jpg
31,4,Nature,0.08563520014286041,0.0,0.0,0.0,0.9126465320587158,0.0,Kensington Gardens,Nature & Parks,4.5,4409.0,/Attraction_Review-g186338-d188893-Reviews-Kensington_Gardens-London_England.html,0.22950620287034784,0.00581151344585573,0.019653809616830158,0.0,0.0,0.0,0.20945804013558705,0.0,0.0004976701170687798,0.0,0.0,0.0,0.005303857592372829,0.0,https://media-cdn.tripadvisor.com/media/photo-o/01/3c/ac/80/kensington-gardens.jpg
32,1,Art,0.0,0.9348880052566528,0.045920923352241516,0.017070244997739792,0.0,0.0,Tate Britain,Museums,4.5,3971.0,/Attraction_Review-g186338-d188865-Reviews-Tate_Britain-London_England.html,0.2066754699933975,0.0064870176731401715,0.0,0.1932184178776086,0.009490728416355298,0.0035280009078103147,0.0,0.0,0.0,0.006064635012506668,0.00029788984135290593,0.00011073498098517063,0.0,0.0,https://media-cdn.tripadvisor.com/media/photo-m/1280/18/10/9d/e6/tate-britain.jpg
33,1,Art,0.0,0.9188067317008972,0.03616175055503845,0.01197722926735878,0.0,0.027881037443876263,Museum of London,Museums,4.5,5711.0,/Attraction_Review-g186338-d187560-Reviews-Museum_of_London-London_England.html,0.2973729019703236,0.004415297248849249,0.0,0.2732282241557644,0.010753524702878743,0.0035617034247983725,0.0,0.008291065014628738,0.0,0.0040568048347031415,0.0001596648777392341,5.2883027433005935e-05,0.0,0.00012310306792100978,https://media-cdn.tripadvisor.com/media/photo-o/03/f9/77/a7/museum-of-london.jpg
34,1,Art,0.01975403167307377,0.8926774263381958,0.0,0.06335743516683577,0.0,0.023925608024001118,National Portrait Gallery,Museums,4.5,5730.0,/Attraction_Review-g186338-d188863-Reviews-National_Portrait_Gallery-London_England.html,0.29836327622754283,0.004399619606044458,0.0058938776086809395,0.26634216153663515,0.0,0.018903531929751256,0.0,0.0071385227957769595,8.691022504727856e-05,0.0039274411067908325,0.0,0.00027874861394870133,0.0,0.00010526357414892992,https://media-cdn.tripadvisor.com/media/photo-m/1280/17/25/ba/4e/national-portrait-gallery.jpg
35,1,Art,0.0,0.9235402345657348,0.0,0.052185799926519394,0.0,0.020323630422353745,British Library,Museums,4.5,3921.0,/Attraction_Review-g186338-d187728-Reviews-British_Library-London_England.html,0.20406922194808355,0.006573727280875161,0.0,0.18846613710558008,0.0,0.010649515587743168,0.0,0.0041474274474501294,0.0,0.006071101634950615,0.0,0.0003430552166512535,0.0,0.00013360200375385118,https://media-cdn.tripadvisor.com/media/photo-s/03/13/dd/af/the-cafe-and-part-of.jpg
36,4,Nature,0.05359162762761116,0.0,0.0,0.014912432059645653,0.9284369349479676,0.0,Hampstead Heath,Nature & Parks,4.5,1711.0,/Attraction_Review-g186338-d211768-Reviews-Hampstead_Heath-London_England.html,0.08887305834520624,0.015468592431285075,0.004762851848963253,0.0,0.0,0.0013253134445058122,0.08251302988947518,0.0,0.0008289870455007142,0.0,0.0,0.00023067433368988765,0.014361612544861646,0.0,https://media-cdn.tripadvisor.com/media/photo-o/01/80/2a/b1/hampstead-heath.jpg
37,1,Art,0.16931746900081635,0.4998921453952789,0.0712689757347107,0.0,0.2383477687835693,0.021061539649963386,Old Royal Naval College,Sights & Landmarks,4.5,2595.0,/Attraction_Review-g186338-d211646-Reviews-Old_Royal_Naval_College-London_England.html,0.13495152378635716,0.010092597632863914,0.02284965044530946,0.06746120674992409,0.009617856874092121,0.0,0.03216539458842101,0.002842286869049339,0.0017088530868401481,0.0050452102833036545,0.0007192890957967769,0.0,0.0024055481270234477,0.00021256564521568997,https://media-cdn.tripadvisor.com/media/photo-o/0f/2f/03/11/old-royal-naval-college.jpg
38,2,Walking tours,0.0,0.0,0.9993738532066344,0.0,0.0,0.0,Tottenham Hotspur Stadium,Sights & Landmarks,4.5,548.0,/Attraction_Review-g186338-d14985376-Reviews-Tottenham_Hotspur_Stadium-London_England.html,0.028251728811203383,0.04896074749476784,0.0,0.0,0.028234039081801214,0.0,0.0,0.0,0.0,0.0,0.048930090879723206,0.0,0.0,0.0,https://media-cdn.tripadvisor.com/media/photo-m/1280/19/87/68/c8/inside-the-stadium.jpg
39,0,Traditional sights,0.7057830691337585,0.07380064576864243,0.0,0.13256941735744476,0.05111941322684288,0.036616146564483636,Trafalgar Square,Sights & Landmarks,4.5,8071.0,/Attraction_Review-g186338-d188964-Reviews-Trafalgar_Square-London_England.html,0.4203878097091427,0.003032793103920845,0.2967025985629372,0.031024891829799894,0.0,0.055730566997313415,0.021489978160049057,0.015392981654232226,0.002140494024932952,0.00022382208955204385,0.0,0.0004020556147524628,0.00015503460391084908,0.00011104919679292092,https://media-cdn.tripadvisor.com/media/photo-o/01/f8/92/a1/square.jpg
40,0,Traditional sights,0.5416237115859985,0.2889389395713806,0.06365004926919937,0.10556674748659134,0.0,0.0,BAPS Shri Swaminarayan Mandir,Sights & Landmarks,4.5,609.0,/Attraction_Review-g186338-d215621-Reviews-BAPS_Shri_Swaminarayan_Mandir-London_England.html,0.03143135142648643,0.04402530688249767,0.01702396521977745,0.009081741350464393,0.0020006070668933808,0.003318105539202206,0.0,0.0,0.023845150117410997,0.01272062548493348,0.0028022129521625984,0.0046476084546843216,0.0,0.0,https://media-cdn.tripadvisor.com/media/photo-o/11/78/9e/d8/baps-shri-swaminarayan.jpg
41,2,Walking tours,0.0,0.0,0.7393954992294312,0.26010504364967346,0.0,0.0,London Underground,Transportation,4.5,44610.0,/Attraction_Review-g186338-d187536-Reviews-London_Underground-London_England.html,2.3249817562636825,0.0002925377597493366,0.0,0.0,1.7190810463719048,0.6047394811976596,0.0,0.0,0.0,0.0,0.0002163011029133201,7.609054676877889e-05,0.0,0.0,https://media-cdn.tripadvisor.com/media/photo-o/09/a3/6a/22/london-underground.jpg
42,3,Food,0.012603854760527607,0.03264165669679642,0.0,0.8412011861801147,0.1133224219083786,0.0,Notting Hill,Other,4.5,2856.0,/Attraction_Review-g186338-d187531-Reviews-Notting_Hill-London_England.html,0.14855613858289604,0.009141688784489713,0.0018723799944836328,0.004849118475824605,0.0,0.12496559999026965,0.016834741413570505,0.0,0.00011522051770565249,0.0002983998669322673,0.0,0.007689999449202198,0.001035958313391036,0.0,https://media-cdn.tripadvisor.com/media/photo-o/0f/14/8e/2d/img-20170424-135551-largejpg.jpg
43,2,Walking tours,0.0,0.0,0.9708320498466492,0.019961247220635414,0.0,0.0,London Eye,Sights & Landmarks,4.5,86337.0,/Attraction_Review-g186338-d553603-Reviews-London_Eye-London_England.html,4.5,0.0,0.0,0.0,4.368744224309921,0.08982561249285936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://media-cdn.tripadvisor.com/media/photo-o/15/12/e3/28/photo-2.jpg
44,4,Nature,0.0,0.0,0.0,0.0,0.9800878763198853,0.019437551498413086,Holland Park,Other,4.5,1577.0,/Attraction_Review-g186338-d187683-Reviews-Holland_Park-London_England.html,0.0818883135837648,0.01680955619435473,0.0,0.0,0.0,0.0,0.08025774335572887,0.0015917083124026286,0.0,0.0,0.0,0.0,0.0164748422324049,0.00032673661419323875,https://media-cdn.tripadvisor.com/media/photo-o/02/1a/af/68/holland-park.jpg
45,2,Walking tours,0.0,0.22116191685199726,0.7698556780815125,0.0,0.0,0.0,Wimbledon Lawn Tennis Museum,Museums,4.5,1295.0,/Attraction_Review-g186338-d548466-Reviews-Wimbledon_Lawn_Tennis_Museum-London_England.html,0.06718907460819405,0.020538120117645442,0.0,0.014859664531860052,0.05172589059216056,0.0,0.0,0.0,0.0,0.004542250013755035,0.015811388389689485,0.0,0.0,0.0,https://media-cdn.tripadvisor.com/media/photo-m/1280/1a/e2/40/69/wimbledon-lawn-tennis.jpg
47,5,Performing arts,0.0,0.0,0.0,0.0,0.0,0.9994089007377625,Kinky Boots at Adelphi Theatre,Concerts & Shows,5.0,2686.0,/Attraction_Review-g186338-d2389215-Reviews-Kinky_Boots_at_Adelphi_Theatre-London_England.html,0.15521655025425402,0.01082230107910442,0.0,0.0,0.0,0.0,0.0,0.15512480186591168,0.0,0.0,0.0,0.0,0.0,0.01081590402492085,https://media-cdn.tripadvisor.com/media/photo-s/02/c2/f6/c6/adelphi-theatre.jpg
48,2,Walking tours,0.0,0.0,0.9778372049331664,0.0,0.016142232343554497,0.0,Emirates Air Line Cable Car - Royal Docks,Transportation,4.5,3662.0,/Attraction_Review-g186338-d3313609-Reviews-Emirates_Air_Line_Cable_Car_Royal_Docks-London_England.html,0.1905688570733572,0.0070607828666192935,0.0,0.0,0.18634531854791966,0.0,0.003076206768323761,0.0,0.0,0.0,0.006904296182935,0.0,0.00011397679756035739,0.0,https://media-cdn.tripadvisor.com/media/photo-o/0d/28/32/c6/north-greenwich.jpg
49,1,Art,0.0,0.5078166127204895,0.1157614290714264,0.0,0.3706883490085602,0.0,Cutty Sark,Museums,4.5,3164.0,/Attraction_Review-g186338-d211885-Reviews-Cutty_Sark-London_England.html,0.1646106265420301,0.008221345208833067,0.0,0.08359201078837122,0.01905556136884828,0.0,0.061019241382129816,0.0,0.0,0.0041749356759554325,0.0009517146702640404,0.0,0.003047556882091766,0.0,https://media-cdn.tripadvisor.com/media/photo-s/02/e8/37/5f/a-greenwich-landmark.jpg
50,4,Nature,0.0,0.0,0.08435896039009094,0.05251111462712288,0.8490201234817505,0.013843187130987644,Primrose Hill,Other,4.5,2064.0,/Attraction_Review-g186338-d2464189-Reviews-Primrose_Hill-London_England.html,0.10727316954512284,0.012769554739694412,0.0,0.0,0.009049453060576529,0.005633033702398732,0.09107707965347894,0.0014850025601473,0.0,0.0,0.0010772263624849788,0.0006705435526734137,0.010841608941902323,0.00017677133584097996,https://media-cdn.tripadvisor.com/media/photo-o/02/27/e1/88/the-view-from-primrose.jpg
51,1,Art,0.0,0.7628961205482483,0.11368738114833833,0.0,0.12311064451932907,0.0,Museum of London Docklands,Museums,4.5,1298.0,/Attraction_Review-g186338-d282174-Reviews-Museum_of_London_Docklands-London_England.html,0.06734544949091288,0.020489928584787768,0.0,0.05137758215319544,0.0076563277848795816,0.0,0.008290941692270206,0.0,0.0,0.01563168702764525,0.0023294463207209994,0.0,0.0025225283142282463,0.0,https://media-cdn.tripadvisor.com/media/photo-o/03/f9/7c/17/museum-of-london-docklands.jpg
52,1,Art,0.0,0.6332869529724121,0.3663307726383209,0.0,0.0,0.0,The Postal Museum,Museums,4.5,1093.0,/Attraction_Review-g186338-d2422685-Reviews-The_Postal_Museum-London_England.html,0.05665983250512562,0.024391620315616886,0.0,0.035881932683098236,0.02075624021916052,0.0,0.0,0.0,0.0,0.015446894907737003,0.0089354011161205,0.0,0.0,0.0,https://media-cdn.tripadvisor.com/media/photo-o/10/13/17/ac/the-postal-museum-galleries.jpg
53,3,Food,0.06973043829202652,0.0,0.0,0.8229178786277771,0.0,0.1027270331978798,Soho,Other,4.5,1537.0,/Attraction_Review-g186338-d187582-Reviews-Soho-London_England.html,0.07980331514751365,0.017255159472423502,0.005564720142392846,0.0,0.0,0.06567157480865589,0.0,0.0081979578044595,0.0012032098328109038,0.0,0.0,0.01419957922843074,0.0,0.0017725713399583593,https://media-cdn.tripadvisor.com/media/photo-o/01/0a/7c/e2/soho-regent-street.jpg
54,2,Walking tours,0.0,0.0,0.9346844553947448,0.0,0.06482578068971634,0.0,Emirates Air Line Cable Car - Greenwich Peninsula,Transportation,4.5,2785.0,/Attraction_Review-g186338-d3294716-Reviews-Emirates_Air_Line_Cable_Car_Greenwich_Peninsula-London_England.html,0.14485526635855026,0.0093827175590121,0.0,0.0,0.13539396574740226,0.0,0.009390355728709823,0.0,0.0,0.0,0.008769880251767934,0.0,0.0006082419907540691,0.0,https://media-cdn.tripadvisor.com/media/photo-o/0d/28/32/bf/north-greenwich.jpg
